name,brand,rating,price_bdt,release_year,os,display_inches,camera_megapixel,ram_gb,battery_mah
Doogee Fire 6,Doogee,6.3,42000.0,"2024, December",Android 14,6.56,50,6,10400.0
Doogee S200X,Doogee,8.3,55000.0,"2024, December",Android 14,6.72,100,12,10100.0
Doogee V40,Doogee,7.6,65000.0,"2024, December",Android 14,6.78,108,12,8680.0
HMD Arc,HMD,6.0,0.0,"2025, January",Android 14,6.52,13,4,5000.0
Infinix Smart 9 HD,Infinix,6.1,9999.0,"2024, December 18",Android 14,6.7,13,3,5000.0
Coolpad Cool 40i,Coolpad,6.0,0.0,"2024, December",Android 14,6.56,50,4,4500.0
Realme 14x (India),Realme,7.1,22000.0,"2024, December 22",Android 14,6.67,50,6,6000.0
Motorola Moto E15,Motorola,5.8,15000.0,"2025, January 22",Android 14,6.67,32,2,5200.0
Motorola Moto G15 Power,Motorola,6.6,25000.0,"2025, February 12",Android 15,6.72,50,4,6000.0
Proton X10 Pro,Proton Mobile,6.5,10800.0,"2024, December",Android 14,6.6,52,8,5050.0
Xiaomi Poco C75 5G,Xiaomi,7.1,14000.0,"2024, December 20",Android 14,6.88,50,2,5160.0
Honor GT,Honor,8.3,40000.0,"2024, December 17",Android 15,6.7,50,3,5300.0
Motorola Moto G15,Motorola,6.8,20000.0,"2025, February 12",Android 15,6.72,50,4,5200.0
Motorola Moto G05,Motorola,6.1,12500.0,"2025, January 13",Android 15,6.67,50,4,5200.0
Xiaomi Poco M7 Pro 5G,Xiaomi,7.5,21500.0,"2024, December 20",Android 14,6.67,50,6,5110.0
Vivo Y200 (Asia),Vivo,7.1,35000.0,"2025, January",Android 14,6.67,50,2,5000.0
Vivo Y300 (China),Vivo,7.0,35000.0,"2024, December 16",Android 15,6.77,50,8,6500.0
Huawei nova 13i,Huawei,6.6,30000.0,"2025, January",EMUI 14.2,6.7,108,4,5000.0
Umidigi G100,Umidigi,6.8,18000.0,"2024, December 28",Android 14,6.9,50,6,6000.0
Umidigi G100A,Umidigi,5.9,15000.0,"2024, December 27",Android 14,6.9,13,4,6000.0
Walton ZENX 1,Walton,6.3,11441.0,"2024, December 18",Android 14,6.6,52,8,5000.0
Blackview BV4800 Pro,Blackview,6.5,20000.0,"2024, December",Android 14,6.56,16,4,5180.0
Realme Neo7,Realme,8.4,39000.0,"2024, December 11",Android 15,6.78,50,12,7000.0
Lava Blaze Duo,Lava,7.4,25000.0,"2024, December 20",Android 14,6.67,64,6,5000.0
Xiaomi Redmi Note 14 5G (India),Xiaomi,7.6,22500.0,"2024, December 13",Android 14,6.67,50,8,5110.0
Realme Note 60x,Realme,6.0,10999.0,"2024, December 09",Android 14,6.74,8,4,5000.0
Philips S6210 Essence 10,Philips,5.6,12000.0,"2024, Q4",Android 14,6.56,13,3,5000.0
Philips S6310 Essence 20,Philips,5.6,15000.0,"2024, Q4",Android 14,6.56,50,4,5000.0
Philips S7710 Omni 10,Philips,6.5,18000.0,"2024, Q4",Android 13,6.6,108,8,5000.0
ZTE Blade A33s,ZTE,4.9,0.0,"2023, November",Android 12,6.3,8,2,4000.0
Honor X9c Smart,Honor,7.3,23999.0,"2024, December 08",Android 14,6.8,108,8,5800.0
Symphony S75,Symphony,6.6,1799.0,"2024, December",,3.0,0,0,2950.0
Tecno Megapad 11,Tecno,6.5,25000.0,"Exp. release 2024, December",Android 14,11.0,13,8,8000.0
Symphony S72,Symphony,6.3,1899.0,"2024, December",,2.4,0,0,1500.0
Symphony EVO 10,Symphony,7.8,2250.0,"2024, December",,2.4,0,0,1500.0
Symphony BL125,Symphony,6.4,1250.0,"2024, December",,2.0,0,0,2500.0
Symphony T94,Symphony,6.3,1550.0,"2024, December",,2.8,0,0,1850.0
Honor 300 Pro,Honor,8.5,65000.0,"2024, December 07",Android 15,6.78,50,3,5300.0
Honor 300,Honor,7.8,35000.0,"2024, December 02",Android 15,6.7,50,3,5300.0
Honor 300 Ultra,Honor,8.8,80000.0,"2024, December 07",Android 15,6.78,50,3,5300.0
Coolpad C16s,Coolpad,6.8,12000.0,"2024, November",Android 14,6.75,50,4,5000.0
Cubot KingKong Ace 2,Cubot,7.0,18000.0,2024,Android 14,6.56,48,6,5100.0
